name,market,neighborhood,cuisine,price,address,zip,url
Realm Rooftop Bar & Lounge,Washington DC,Shaw,,?,899 O St NW,20001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=realm-rooftop-bar-and-lounge
The Mulberry,Los Angeles,Sawtelle,,?,1800 Sawtelle Blvd,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-mulberry
Mama on main Thai house,Los Angeles,Huntington Beach,,$$,301 Main St #107,92648,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mama-on-main-thai-house
Shanghai Pine Gardens Restaurant,Los Angeles,Corona Del Mar,,$$,300 Marine Ave,92662,https://jsheldon-afk.github.io/cold-call-hub-3/?r=shanghai-pine-gardens-restaurant
H?o V? BBQ,Los Angeles,Westminster,,$$,10481 Bolsa Ave,92683,https://jsheldon-afk.github.io/cold-call-hub-3/?r=h-o-v-bbq
Poplar,Washington DC,Brightwood Park,,?,701 Kennedy St NW,20011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=poplar
Holy Basil,Los Angeles,Santa Monica,,?,2828 Santa Monica Blvd,90404,https://jsheldon-afk.github.io/cold-call-hub-3/?r=holy-basil
Traveler,New York City,Midtown,,?,56 E 41st St,10017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=traveler
Shiraz Kitchen & Wine Bar,New York City,Chelsea,,$$$,111 W 17th St,10011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=shiraz-kitchen-and-wine-bar
Gen Korean BBQ House,Los Angeles,Westminster,,$$$,16300 Beach Blvd,92683,https://jsheldon-afk.github.io/cold-call-hub-3/?r=gen-korean-bbq-house
DAO Dim Sum & Chinese Cuisine,New York City,,,$$,177 Madison Ave,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=dao-dim-sum-and-chinese-cuisine
OLD SCHOOL HOOKAH LOUNGE,Los Angeles,,,$$$,2216 N San Fernando Rd,90065,https://jsheldon-afk.github.io/cold-call-hub-3/?r=old-school-hookah-lounge
Spin The Bottle Wine Studio,Los Angeles,,,$$$,10139 Riverside Dr,91602,https://jsheldon-afk.github.io/cold-call-hub-3/?r=spin-the-bottle-wine-studio
Great White,Los Angeles,,,$$,11660 Darlington Ave,90049,https://jsheldon-afk.github.io/cold-call-hub-3/?r=great-white
Yama Shisha,Los Angeles,,,$$$,"Yamashiro Gardens, 1999 N Sycamore Ave",90068,https://jsheldon-afk.github.io/cold-call-hub-3/?r=yama-shisha
Lucky Baldwins Pub,Los Angeles,,,$$,17 S Raymond Ave,91105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lucky-baldwins-pub
Marumi,New York City,Greenwich Village,,$$,546 LaGuardia Pl,10012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=marumi
El Camion Cantina,New York City,East Village,,$$,194 Avenue A,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-camion-cantina
Amorina Cucina Rustica,New York City,Prospect Heights,,$$,624 Vanderbilt Ave,11238,https://jsheldon-afk.github.io/cold-call-hub-3/?r=amorina-cucina-rustica
DiWine,New York City,Astoria,,$$,41-15 31st Ave,11103,https://jsheldon-afk.github.io/cold-call-hub-3/?r=diwine
Bahari Estiatorio,New York City,Astoria,,$$,31-14 Broadway,11106,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bahari-estiatorio
Eli's Night Shift,New York City,Upper East Side,,$$,189 E 79th St,10075,https://jsheldon-afk.github.io/cold-call-hub-3/?r=eli-s-night-shift
Gen,New York City,Crown Heights,,$$,659 Washington Ave,11238,https://jsheldon-afk.github.io/cold-call-hub-3/?r=gen
Chez Ma Tante,New York City,Greenpoint,American; French,$$,90 Calyer St,11222,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chez-ma-tante
El Parador Cafe,New York City,Murray Hill,Mexican,$$,325 E 34th St,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-parador-cafe
Da Raffaele,New York City,Midtown East,,$$,883 1st Avenue,10022,https://jsheldon-afk.github.io/cold-call-hub-3/?r=da-raffaele
Kondo,New York City,Astoria,,$$,2913 Broadway,11106,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kondo
Gabby O'Haras,New York City,Midtown,,$$,123 West 39 Street,10018,https://jsheldon-afk.github.io/cold-call-hub-3/?r=gabby-o-haras
Thai Terminal,New York City,Lower East Side,,$$,349 E 12Th St,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=thai-terminal
Misc,New York City,Crown Heights,,$$,758 FRANKLIN AVE,11238,https://jsheldon-afk.github.io/cold-call-hub-3/?r=misc
Sushi Mumi,New York City,East Village,,?,130 St Marks Pl,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sushi-mumi
Galerie,New York City,Financial District,,?,"85 W Broadway, New York, NY 10007, United States",10007,https://jsheldon-afk.github.io/cold-call-hub-3/?r=galerie
Hanabi Ramen,Washington DC,Arlington,,$$,3024 Wilson Blvd,22201,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hanabi-ramen
Kruba Thai,Washington DC,Navy Yard,,$$,300 Water St SE,20374,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kruba-thai
Chercher Ethiopian Restaurant & Mart,Washington DC,Shaw,,$$,1334 9th St NW,20001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chercher-ethiopian-restaurant-and-mart
Akeno Sushi Bar and Thai at Capitol Hill,Washington DC,Navy Yard,,$$,524 8th St,20003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=akeno-sushi-bar-and-thai-at-capitol-hill
Barragan's,Los Angeles,Burbank,,$$,730 N Victory Blvd,91502,https://jsheldon-afk.github.io/cold-call-hub-3/?r=barragan-s
Cafe Scent,Los Angeles,Koreatown,,$$,3680 Wilshire Blvd,90010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cafe-scent
Sonsonate Grill,Los Angeles,Vernon,,$$,4350 Avalon Blvd,90011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sonsonate-grill
Mon Japanese Restaurant,Los Angeles,Tarzana,,$$,19463 Ventura Blvd,91356,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mon-japanese-restaurant
Cambalache Grill,Los Angeles,Fountain Valley,,$$,8780 Warner Ave,92708,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cambalache-grill
Cajun Seafood House,Los Angeles,,,$$,5267 Hollywood Blvd,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cajun-seafood-house
Anarbagh,Los Angeles,Beverly Hills,,$$,138 S Beverly Dr,90212,https://jsheldon-afk.github.io/cold-call-hub-3/?r=anarbagh
Kings Road Cafe,Los Angeles,Beverly Hills,,$$,8361 Beverly Blvd,90048,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kings-road-cafe
Calico Fish House,Los Angeles,,,$$,16600 Pacific Coast Hwy,92649,https://jsheldon-afk.github.io/cold-call-hub-3/?r=calico-fish-house
Cafe Sakana,Los Angeles,East Bluff,,$$$,1703 Westcliff Dr,92660,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cafe-sakana
Lal Mirch,Los Angeles,Glendale,,$$,11138 Ventura Blvd,91604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lal-mirch
Uncle Paulie's,Los Angeles,,,$$,3990 Vantage Ave,91604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=uncle-paulie-s
Cassell's Hamburgers,Los Angeles,Chinatown,,$$,1021 Alpine St Unit A,90012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cassell-s-hamburgers
Moku Sushi,Los Angeles,,,$$,524 Palisades Dr,90272,https://jsheldon-afk.github.io/cold-call-hub-3/?r=moku-sushi
